position,positionText,points,wins,constructor_constructorId,constructor_url,constructor_name,constructor_nationality,season,round
1,1,44,1,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2024,1
2,2,27,0,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2024,1
3,3,16,0,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2024,1
4,4,12,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2024,1
5,5,3,0,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British,2024,1
6,6,0,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2024,1
7,7,0,0,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,2024,1
8,8,0,0,rb,http://en.wikipedia.org/wiki/RB_Formula_One_Team,RB F1 Team,Italian,2024,1
9,9,0,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2024,1
10,10,0,0,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French,2024,1
1,1,87,2,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2024,2
2,2,49,0,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2024,2
3,3,28,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2024,2
4,4,26,0,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2024,2
5,5,13,0,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British,2024,2
6,6,1,0,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,2024,2
7,7,0,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2024,2
8,8,0,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2024,2
9,9,0,0,rb,http://en.wikipedia.org/wiki/RB_Formula_One_Team,RB F1 Team,Italian,2024,2
10,10,0,0,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French,2024,2
1,1,97,2,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2024,3
2,2,93,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2024,3
3,3,55,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2024,3
4,4,26,0,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2024,3
5,5,25,0,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British,2024,3
6,6,6,0,rb,http://en.wikipedia.org/wiki/RB_Formula_One_Team,RB F1 Team,Italian,2024,3
7,7,4,0,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,2024,3
8,8,0,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2024,3
9,9,0,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2024,3
10,10,0,0,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French,2024,3
1,1,141,3,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2024,4
2,2,120,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2024,4
3,3,69,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2024,4
4,4,34,0,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2024,4
5,5,33,0,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British,2024,4
6,6,7,0,rb,http://en.wikipedia.org/wiki/RB_Formula_One_Team,RB F1 Team,Italian,2024,4
7,7,4,0,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,2024,4
8,8,0,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2024,4
9,9,0,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2024,4
10,10,0,0,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French,2024,4
1,1,195,4,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2024,5
2,2,151,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2024,5
3,3,96,0,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2024,5
4,4,52,0,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2024,5
5,5,40,0,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British,2024,5
6,6,7,0,rb,http://en.wikipedia.org/wiki/RB_Formula_One_Team,RB F1 Team,Italian,2024,5
7,7,5,0,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,2024,5
8,8,0,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2024,5
9,9,0,0,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French,2024,5
10,10,0,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2024,5
1,1,239,4,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2024,6
2,2,187,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2024,6
3,3,124,1,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2024,6
4,4,64,0,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2024,6
5,5,42,0,aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British,2024,6
6,6,19,0,rb,http://en.wikipedia.org/wiki/RB_Formula_One_Team,RB F1 Team,Italian,2024,6
7,7,7,0,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American,2024,6
8,8,1,0,alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French,2024,6
9,9,0,0,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British,2024,6
10,10,0,0,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss,2024,6
1,1,268,5,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian,2024,7
2,2,212,1,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian,2024,7
3,3,154,1,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British,2024,7
4,4,79,0,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German,2024,7
