constructorId,url,name,nationality
adams,http://en.wikipedia.org/wiki/Adams_(constructor),Adams,American
afm,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,AFM,German
ags,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,AGS,French
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team,Alta,British
amon,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),Amon,New Zealander
apollon,http://en.wikipedia.org/wiki/Apollon_(Formula_One),Apollon,Swiss
arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
arzani-volpini,http://en.wikipedia.org/wiki/Arzani-Volpini,Arzani-Volpini,Italian
aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian
bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British
behra-porsche,http://en.wikipedia.org/wiki/Behra-Porsche,Behra-Porsche,Italian
bellasi,http://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss
benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
bmw,http://en.wikipedia.org/wiki/BMW,BMW,German
bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,BMW Sauber,German
boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham,Brabham-Alfa Romeo,British
brabham-brm,http://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British
brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British
brawn,http://en.wikipedia.org/wiki/Brawn_GP,Brawn,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
brm-ford,http://en.wikipedia.org/wiki/BRM,BRM-Ford,British
bromme,http://en.wikipedia.org/wiki/Bromme,Bromme,American
brp,http://en.wikipedia.org/wiki/British_Racing_Partnership,BRP,British
bugatti,http://en.wikipedia.org/wiki/Bugatti,Bugatti,French
butterworth,http://en.wikipedia.org/wiki/Aston_Butterworth,Aston Butterworth,British
caterham,http://en.wikipedia.org/wiki/Caterham_F1,Caterham,Malaysian
cisitalia,http://en.wikipedia.org/wiki/Cisitalia,Cisitalia,Italian
coloni,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,Coloni,Italian
connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British
connew,http://en.wikipedia.org/wiki/Connew,Connew,British
cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British
cooper-alfa_romeo,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Alfa Romeo,British
cooper-ats,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-ATS,British
cooper-borgward,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Borgward,British
cooper-brm,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-BRM,British
cooper-castellotti,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Castellotti,British
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British
cooper-ferrari,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ferrari,British
cooper-ford,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ford,British
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British
cooper-osca,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-OSCA,British
dallara,http://en.wikipedia.org/wiki/Dallara,Dallara,Italian
deidt,http://en.wikipedia.org/wiki/Deidt,Deidt,American
del_roy,http://en.wikipedia.org/wiki/Del_Roy,Del Roy,American
derrington,http://en.wikipedia.org/wiki/Derrington-Francis,Derrington,British
de_tomaso-alfa_romeo,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Alfa Romeo,Italian
de_tomaso-ferrari,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Ferrari,Italian
de_tomaso-osca,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Osca,Italian
dunn,http://en.wikipedia.org/wiki/Dunn_Engineering,Dunn,American
eagle,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle,American
eagle-climax,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Climax,American
eagle-weslake,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Weslake,American
elder,http://en.wikipedia.org/wiki/Elder_(constructor),Elder,American
emeryson,http://en.wikipedia.org/wiki/Emeryson,Emeryson,British
emw,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,EMW,East German
enb,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,ENB,Belgian
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British
epperly,http://en.wikipedia.org/wiki/Epperly,Epperly,American
era,http://en.wikipedia.org/wiki/English_Racing_Automobiles,ERA,British
eurobrun,http://en.wikipedia.org/wiki/Euro_Brun,Euro Brun,Italian
ewing,http://en.wikipedia.org/wiki/Ewing_(constructor),Ewing,American
ferguson,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,Ferguson,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian
fondmetal,http://en.wikipedia.org/wiki/Fondmetal,Fondmetal,Italian
footwork,http://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
forti,http://en.wikipedia.org/wiki/Forti,Forti,Italian
frazer_nash,http://en.wikipedia.org/wiki/Frazer_Nash,Frazer Nash,British
fry,http://en.wikipedia.org/wiki/Fry_(racing_team),Fry,British
gilby,http://en.wikipedia.org/wiki/Gilby,Gilby,British
gordini,http://en.wikipedia.org/wiki/Gordini,Gordini,French
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
hall,http://en.wikipedia.org/wiki/Hall_(constructor),Hall,American
hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British
hill,http://en.wikipedia.org/wiki/Hill_(constructor),Embassy Hill,British
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese
hrt,http://en.wikipedia.org/wiki/Hispania_Racing,HRT,Spanish
hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British
iso_marlboro,http://en.wikipedia.org/wiki/Iso_Marlboro,Iso Marlboro,British
jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British
jbw,http://en.wikipedia.org/wiki/JBW,JBW,British
jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
kauhsen,http://en.wikipedia.org/wiki/Kauhsen,Kauhsen,German
klenk,http://en.wikipedia.org/wiki/Klenk,Klenk,German
kojima,http://en.wikipedia.org/wiki/Kojima_Engineering,Kojima,Japanese
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American
lago,http://en.wikipedia.org/wiki/Talbot-Lago,Talbot-Lago,French
lambo,http://en.wikipedia.org/wiki/Modena_(racing_team),Lambo,Italian
lancia,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,Lancia,Italian
langley,http://en.wikipedia.org/wiki/Langley_(constructor),Langley,American
