number,Timings,season,round,raceName,date,circuit_id,circuit_name,circuit_location,circuit_country
1,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:37.284'}, {'driverId': 'leclerc', 'position': '2', 'time': '1:38.271'}, {'driverId': 'russell', 'position': '3', 'time': '1:39.228'}, {'driverId': 'perez', 'position': '4', 'time': '1:40.053'}, {'driverId': 'sainz', 'position': '5', 'time': '1:40.620'}, {'driverId': 'alonso', 'position': '6', 'time': '1:41.679'}, {'driverId': 'norris', 'position': '7', 'time': '1:42.168'}, {'driverId': 'piastri', 'position': '8', 'time': '1:42.523'}, {'driverId': 'hamilton', 'position': '9', 'time': '1:43.122'}, {'driverId': 'tsunoda', 'position': '10', 'time': '1:43.485'}, {'driverId': 'albon', 'position': '11', 'time': '1:43.888'}, {'driverId': 'kevin_magnussen', 'position': '12', 'time': '1:44.349'}, {'driverId': 'zhou', 'position': '13', 'time': '1:44.801'}, {'driverId': 'ricciardo', 'position': '14', 'time': '1:45.668'}, {'driverId': 'sargeant', 'position': '15', 'time': '1:45.921'}, {'driverId': 'ocon', 'position': '16', 'time': '1:46.657'}, {'driverId': 'gasly', 'position': '17', 'time': '1:47.240'}, {'driverId': 'bottas', 'position': '18', 'time': '1:48.536'}, {'driverId': 'stroll', 'position': '19', 'time': '1:50.214'}, {'driverId': 'hulkenberg', 'position': '20', 'time': '1:53.555'}]",2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
2,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:36.296'}, {'driverId': 'leclerc', 'position': '2', 'time': '1:36.862'}, {'driverId': 'russell', 'position': '3', 'time': '1:36.635'}, {'driverId': 'perez', 'position': '4', 'time': '1:36.541'}, {'driverId': 'sainz', 'position': '5', 'time': '1:37.236'}, {'driverId': 'alonso', 'position': '6', 'time': '1:38.020'}, {'driverId': 'norris', 'position': '7', 'time': '1:38.010'}, {'driverId': 'piastri', 'position': '8', 'time': '1:38.382'}, {'driverId': 'hamilton', 'position': '9', 'time': '1:38.273'}, {'driverId': 'tsunoda', 'position': '10', 'time': '1:38.689'}]",2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
1,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:35.505'}, {'driverId': 'leclerc', 'position': '2', 'time': '1:36.681'}, {'driverId': 'perez', 'position': '3', 'time': '1:37.222'}, {'driverId': 'alonso', 'position': '4', 'time': '1:38.507'}, {'driverId': 'piastri', 'position': '5', 'time': '1:38.705'}, {'driverId': 'norris', 'position': '6', 'time': '1:39.926'}, {'driverId': 'russell', 'position': '7', 'time': '1:40.459'}, {'driverId': 'hamilton', 'position': '8', 'time': '1:40.900'}, {'driverId': 'stroll', 'position': '9', 'time': '1:42.429'}, {'driverId': 'tsunoda', 'position': '10', 'time': '1:42.531'}, {'driverId': 'bearman', 'position': '11', 'time': '1:42.621'}, {'driverId': 'kevin_magnussen', 'position': '12', 'time': '1:43.159'}, {'driverId': 'albon', 'position': '13', 'time': '1:43.626'}, {'driverId': 'hulkenberg', 'position': '14', 'time': '1:43.748'}, {'driverId': 'ricciardo', 'position': '15', 'time': '1:44.329'}, {'driverId': 'ocon', 'position': '16', 'time': '1:44.388'}, {'driverId': 'bottas', 'position': '17', 'time': '1:44.857'}, {'driverId': 'sargeant', 'position': '18', 'time': '1:45.460'}, {'driverId': 'zhou', 'position': '19', 'time': '1:45.821'}, {'driverId': 'gasly', 'position': '20', 'time': '2:01.453'}]",2024,2,Saudi Arabian Grand Prix,2024-03-09,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
2,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:34.205'}, {'driverId': 'leclerc', 'position': '2', 'time': '1:34.179'}, {'driverId': 'perez', 'position': '3', 'time': '1:34.515'}, {'driverId': 'piastri', 'position': '4', 'time': '1:35.082'}, {'driverId': 'alonso', 'position': '5', 'time': '1:35.724'}, {'driverId': 'norris', 'position': '6', 'time': '1:35.246'}, {'driverId': 'russell', 'position': '7', 'time': '1:35.146'}, {'driverId': 'hamilton', 'position': '8', 'time': '1:35.541'}, {'driverId': 'stroll', 'position': '9', 'time': '1:36.094'}, {'driverId': 'tsunoda', 'position': '10', 'time': '1:36.873'}]",2024,2,Saudi Arabian Grand Prix,2024-03-09,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia
1,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:27.458'}, {'driverId': 'sainz', 'position': '2', 'time': '1:28.375'}, {'driverId': 'norris', 'position': '3', 'time': '1:29.784'}, {'driverId': 'leclerc', 'position': '4', 'time': '1:30.520'}, {'driverId': 'piastri', 'position': '5', 'time': '1:31.036'}, {'driverId': 'russell', 'position': '6', 'time': '1:31.910'}, {'driverId': 'perez', 'position': '7', 'time': '1:32.428'}, {'driverId': 'stroll', 'position': '8', 'time': '1:32.835'}, {'driverId': 'tsunoda', 'position': '9', 'time': '1:33.305'}, {'driverId': 'hamilton', 'position': '10', 'time': '1:33.688'}, {'driverId': 'alonso', 'position': '11', 'time': '1:34.503'}, {'driverId': 'bottas', 'position': '12', 'time': '1:34.763'}, {'driverId': 'kevin_magnussen', 'position': '13', 'time': '1:35.467'}, {'driverId': 'albon', 'position': '14', 'time': '1:35.752'}, {'driverId': 'ocon', 'position': '15', 'time': '1:36.283'}, {'driverId': 'hulkenberg', 'position': '16', 'time': '1:36.920'}, {'driverId': 'gasly', 'position': '17', 'time': '1:37.304'}, {'driverId': 'ricciardo', 'position': '18', 'time': '1:37.645'}, {'driverId': 'zhou', 'position': '19', 'time': '1:38.691'}]",2024,3,Australian Grand Prix,2024-03-24,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
2,"[{'driverId': 'sainz', 'position': '1', 'time': '1:22.600'}, {'driverId': 'max_verstappen', 'position': '2', 'time': '1:24.099'}, {'driverId': 'norris', 'position': '3', 'time': '1:23.183'}, {'driverId': 'leclerc', 'position': '4', 'time': '1:23.014'}, {'driverId': 'piastri', 'position': '5', 'time': '1:23.232'}, {'driverId': 'russell', 'position': '6', 'time': '1:23.347'}, {'driverId': 'perez', 'position': '7', 'time': '1:23.381'}, {'driverId': 'stroll', 'position': '8', 'time': '1:23.551'}, {'driverId': 'tsunoda', 'position': '9', 'time': '1:23.807'}, {'driverId': 'hamilton', 'position': '10', 'time': '1:24.055'}, {'driverId': 'alonso', 'position': '11', 'time': '1:24.284'}]",2024,3,Australian Grand Prix,2024-03-24,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia
1,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '2:10.735'}, {'driverId': 'perez', 'position': '2', 'time': '2:12.767'}, {'driverId': 'norris', 'position': '3', 'time': '2:14.751'}, {'driverId': 'sainz', 'position': '4', 'time': '2:17.613'}, {'driverId': 'alonso', 'position': '5', 'time': '2:20.526'}, {'driverId': 'piastri', 'position': '6', 'time': '2:24.356'}, {'driverId': 'hamilton', 'position': '7', 'time': '2:32.716'}, {'driverId': 'leclerc', 'position': '8', 'time': '2:34.543'}, {'driverId': 'russell', 'position': '9', 'time': '2:39.587'}, {'driverId': 'hulkenberg', 'position': '10', 'time': '2:42.853'}, {'driverId': 'bottas', 'position': '11', 'time': '2:44.736'}, {'driverId': 'tsunoda', 'position': '12', 'time': '2:47.566'}, {'driverId': 'ocon', 'position': '13', 'time': '2:50.167'}, {'driverId': 'gasly', 'position': '14', 'time': '2:53.223'}, {'driverId': 'stroll', 'position': '15', 'time': '2:59.595'}, {'driverId': 'kevin_magnussen', 'position': '16', 'time': '3:05.172'}, {'driverId': 'sargeant', 'position': '17', 'time': '3:08.456'}, {'driverId': 'zhou', 'position': '18', 'time': '3:15.118'}]",2024,4,Japanese Grand Prix,2024-04-07,suzuka,Suzuka Circuit,Suzuka,Japan
2,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '28:31.131'}, {'driverId': 'perez', 'position': '2', 'time': '28:31.382'}, {'driverId': 'norris', 'position': '3', 'time': '28:30.610'}, {'driverId': 'sainz', 'position': '4', 'time': '28:32.219'}, {'driverId': 'alonso', 'position': '5', 'time': '28:34.647'}, {'driverId': 'piastri', 'position': '6', 'time': '28:34.222'}, {'driverId': 'hamilton', 'position': '7', 'time': '28:29.973'}, {'driverId': 'leclerc', 'position': '8', 'time': '28:31.605'}, {'driverId': 'russell', 'position': '9', 'time': '28:28.819'}, {'driverId': 'hulkenberg', 'position': '10', 'time': '28:28.601'}, {'driverId': 'bottas', 'position': '11', 'time': '28:28.578'}, {'driverId': 'tsunoda', 'position': '12', 'time': '28:29.992'}]",2024,4,Japanese Grand Prix,2024-04-07,suzuka,Suzuka Circuit,Suzuka,Japan
1,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:41.528'}, {'driverId': 'alonso', 'position': '2', 'time': '1:43.173'}, {'driverId': 'perez', 'position': '3', 'time': '1:43.970'}, {'driverId': 'norris', 'position': '4', 'time': '1:44.524'}, {'driverId': 'piastri', 'position': '5', 'time': '1:45.121'}, {'driverId': 'russell', 'position': '6', 'time': '1:45.746'}, {'driverId': 'leclerc', 'position': '7', 'time': '1:46.488'}, {'driverId': 'hulkenberg', 'position': '8', 'time': '1:47.041'}, {'driverId': 'sainz', 'position': '9', 'time': '1:47.147'}, {'driverId': 'stroll', 'position': '10', 'time': '1:47.730'}, {'driverId': 'bottas', 'position': '11', 'time': '1:48.149'}, {'driverId': 'ocon', 'position': '12', 'time': '1:48.897'}, {'driverId': 'albon', 'position': '13', 'time': '1:49.364'}, {'driverId': 'gasly', 'position': '14', 'time': '1:49.907'}, {'driverId': 'ricciardo', 'position': '15', 'time': '1:50.255'}, {'driverId': 'tsunoda', 'position': '16', 'time': '1:50.625'}, {'driverId': 'zhou', 'position': '17', 'time': '1:50.671'}, {'driverId': 'kevin_magnussen', 'position': '18', 'time': '1:51.086'}, {'driverId': 'hamilton', 'position': '19', 'time': '1:51.502'}, {'driverId': 'sargeant', 'position': '20', 'time': '1:52.130'}]",2024,5,Chinese Grand Prix,2024-04-21,shanghai,Shanghai International Circuit,Shanghai,China
2,"[{'driverId': 'max_verstappen', 'position': '1', 'time': '1:40.103'}, {'driverId': 'alonso', 'position': '2', 'time': '1:41.128'}, {'driverId': 'perez', 'position': '3', 'time': '1:40.881'}, {'driverId': 'norris', 'position': '4', 'time': '1:41.267'}, {'driverId': 'piastri', 'position': '5', 'time': '1:41.607'}, {'driverId': 'russell', 'position': '6', 'time': '1:41.696'}, {'driverId': 'leclerc', 'position': '7', 'time': '1:41.812'}, {'driverId': 'sainz', 'position': '8', 'time': '1:42.115'}, {'driverId': 'stroll', 'position': '9', 'time': '1:42.326'}, {'driverId': 'hulkenberg', 'position': '10', 'time': '1:43.687'}]",2024,5,Chinese Grand Prix,2024-04-21,shanghai,Shanghai International Circuit,Shanghai,China
