driverId,lap,stop,time,duration,season,round,raceName,date,circuit_id,circuit_name,circuit_location,circuit_country
hulkenberg,1,1,18:05:33,36.604,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
zhou,9,1,18:18:39,25.208,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
stroll,9,1,18:18:42,24.418,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
ocon,10,1,18:20:20,24.877,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
sargeant,10,1,18:21:19,35.729,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
russell,11,1,18:21:38,24.778,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
leclerc,11,1,18:21:41,24.069,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
kevin_magnussen,11,1,18:21:55,25.951,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
perez,12,1,18:23:16,24.516,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
piastri,12,1,18:23:24,25.450,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
hamilton,12,1,18:23:26,25.087,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
gasly,12,1,18:23:38,29.980,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
bottas,12,1,18:23:42,26.420,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
norris,13,1,18:25:00,24.205,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
ricciardo,13,1,18:25:17,24.988,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
sainz,14,1,18:26:32,24.474,2024,1,Bahrain Grand Prix,2024-03-02,bahrain,Bahrain International Circuit,Sakhir,Bahrain
